CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"M1163","Commit vs. execution ratio (%, mid-term)","","3.28","<= 15.00",""," 2000000"
"M1164","Unexpected distributed executions","","0","<= 10",""," 2000002"
"M1165","Internal executions (%)","","2.66","<= 20.00",""," 2000002"
"M1168","Delivered statement hints implemented","","no","yes","X"," 2700051"
"M1169","Total number of implemented statement hints","","2","<= 100",""," 2400006"
"M1170","Average database request time (ms)","","1.82","<= 2.00",""," 2000002"
"M1180","Avg. ABAP buffer loading sessions (short-term)","","0.00","<= 0.50",""," 2000002"
"M1181","Avg. FDA write sessions (short-term)","","0.00","<= 0.50",""," 2000002"
"M1182","Avg. compatibility view sessions (short-term)","","0.00","<= 0.50",""," 2000002"
"","","","","","",""
"****","APPLICATION","","","","",""
"","","","","","",""
"M1210","DDLOG sequence cache size","","500",">= 2",""," 2000002"
"M1211","DDLOG sequence number range usage (%)","","0.00","<= 80.00",""," 1312102"
"M1220","QCM conversion tables","","1","0","X","    9385"
"M1221","BW shadow tables","","0","0",""," 2155151"
"M1230","ABAP row store tables on slave node","","0","0",""," 2222277"
"M1240","Connections without application information (%)","","20.68","<= 50.00","",""
"M1250","Physical BPC tables","","0","0",""," 2445363"
"M1252","Physical ABAP pool and cluster tables","","0","0",""," 1892354"
"M1270","Two-column indexes including client column","","0","0",""," 2160391"
"M1280","Growth of short dump table SNAP (GB, short-term)","","n/a","<= 0.50",""," 2399990"
"M1285","Number of update records in error state","","0","<= 100","",""
"","","","","","",""
"****","SECURITY","","","",""," 2159014"
"","","","","","",""
"M1312","Inconsistent secure store","","no","no",""," 2097613"
"M1331","Connection user with (password) expiration","","none","none",""," 2159014"
"M1340","CATALOG READ privilege granted to current user","","yes","yes",""," 1640741"
"M1360","Size of audit log table (GB)","","0.00","<= 10.00",""," 2388483"
"M1362","Active DML audit policies","","0","<= 30",""," 2159014"
"","","","","","",""
"****","LICENSE","","","","",""
"","","","","","",""
"M1410","License usage (%)","","171","<= 95","X"," 1704499"
"M1415","License expiration (days)","","never",">= 100",""," 1644792"
"M1420","Permanent license","","yes","yes",""," 1644792"
"","","","","","",""
"****","NETWORK","","","","",""
"","","","","","",""
"M1510","Avg. intra node send throughput (MB/s)","erphana02","never",">= 20",""," 2222200"
"M1512","Avg. inter node send throughput (MB/s)","erphana02","never",">= 16",""," 2222200"
"M1520","Retransmitted TCP segments (%)","","0.03523","<= 1.00000",""," 2222200"
"M1522","Bad TCP segments (%)","","0.00000","<= 0.10000",""," 2222200"
"M1524","Current network collision share (%)","","0.00","<= 1.00",""," 2222200"
"M1525","Current send error share (%)","","0.00","<= 0.10",""," 2222200"
"M1526","Current receive error share (%)","","0.00","<= 0.10",""," 2222200"
"M1530","Avg. intra node communication volume (MB/s)","erphana02","0","<= 30",""," 2222200"
"M1532","Avg. inter node communication volume (MB/s)","erphana02","0","<= 20",""," 2222200"
"M1540","Host name resolution for non IP addresses","","0","0",""," 2222200"
"M1550","Network Poll thread state share (%, short-term)","","1.19","<= 20.00",""," 2222200"
"M1551","Network Read thread state share (%, short-term)","","0.00","<= 10.00",""," 2222200"
"M1552","Network Write thread state share (%, short-term)","","0.00","<= 10.00",""," 2222200"
"","","","","","",""
"****","XS ENGINE","","","","",""
"","","","","","",""
"","","","","","",""
"****","NAMESERVER","","","","",""
"","","","","","",""
"M1712","Avg. load history ping time (ms, short-term)","erphana02","291.34","<= 400.00",""," 2222110"
"","","","","","",""
"****","SYSTEM REPLICATION","","","","",""
"","","","","","",""
"M1810","Services with replication error","","0","0",""," 1999880"
"M1811","Services with unknown replication state","","0","0",""," 1999880"
"M1813","Replication connection closed (short-term)","","no","no",""," 1999880"
"M1814","Log position gap (MB)","","n/a","<= 100",""," 2436931"
"M1815","Current log shipping delay (s)","","0","<= 60",""," 1999880"
