,date,kosdaq
574,2020.11.19,859.0
575,2020.11.18,851.0
576,2020.11.17,839.0
577,2020.11.16,847.0
578,2020.11.13,839.0
579,2020.11.12,840.0
580,2020.11.11,839.0
581,2020.11.10,840.0
582,2020.11.09,851.0
583,2020.11.06,836.0
584,2020.11.05,844.0
585,2020.11.04,826.0
586,2020.11.03,818.0
587,2020.11.02,802.0
588,2020.10.30,792.0
589,2020.10.29,813.0
590,2020.10.28,806.0
591,2020.10.27,783.0
592,2020.10.26,778.0
593,2020.10.23,807.0
594,2020.10.22,812.0
595,2020.10.21,830.0
596,2020.10.20,824.0
597,2020.10.19,822.0
598,2020.10.16,833.0
599,2020.10.15,844.0
600,2020.10.14,861.0
601,2020.10.13,871.0
602,2020.10.12,873.0
603,2020.10.08,871.0
604,2020.10.07,869.0
605,2020.10.06,862.0
606,2020.10.05,858.0
607,2020.09.29,848.0
608,2020.09.28,835.0
609,2020.09.25,808.0
610,2020.09.24,806.0
611,2020.09.23,843.0
612,2020.09.22,842.0
613,2020.09.21,866.0
614,2020.09.18,888.0
615,2020.09.17,885.0
616,2020.09.16,896.0
617,2020.09.15,899.0
618,2020.09.14,894.0
619,2020.09.11,888.0
620,2020.09.10,884.0
621,2020.09.09,869.0
622,2020.09.08,878.0
623,2020.09.07,878.0
624,2020.09.04,866.0
625,2020.09.03,874.0
626,2020.09.02,866.0
627,2020.09.01,853.0
628,2020.08.31,848.0
629,2020.08.28,841.0
630,2020.08.27,836.0
631,2020.08.26,841.0
632,2020.08.25,836.0
633,2020.08.24,815.0
634,2020.08.21,796.0
635,2020.08.20,791.0
636,2020.08.19,818.0
637,2020.08.18,800.0
638,2020.08.14,835.0
639,2020.08.13,854.0
640,2020.08.12,845.0
641,2020.08.11,860.0
642,2020.08.10,862.0
643,2020.08.07,857.0
644,2020.08.06,854.0
645,2020.08.05,847.0
646,2020.08.04,835.0
647,2020.08.03,827.0
648,2020.07.31,815.0
649,2020.07.30,814.0
650,2020.07.29,808.0
651,2020.07.28,807.0
652,2020.07.27,801.0
653,2020.07.24,794.0
654,2020.07.23,801.0
655,2020.07.22,794.0
656,2020.07.21,790.0
657,2020.07.20,781.0
658,2020.07.17,783.0
659,2020.07.16,775.0
660,2020.07.15,781.0
661,2020.07.14,778.0
662,2020.07.13,781.0
663,2020.07.10,772.0
664,2020.07.09,772.0
665,2020.07.08,765.0
666,2020.07.07,759.0
667,2020.07.06,759.0
668,2020.07.03,752.0
669,2020.07.02,742.0
670,2020.07.01,727.0
671,2020.06.30,737.0
672,2020.06.29,734.0
673,2020.06.26,750.0
674,2020.06.25,750.0
675,2020.06.24,759.0
676,2020.06.23,753.0
677,2020.06.22,751.0
678,2020.06.19,742.0
679,2020.06.18,737.0
680,2020.06.17,735.0
681,2020.06.16,735.0
682,2020.06.15,693.0
683,2020.06.12,746.0
684,2020.06.11,757.0
685,2020.06.10,758.0
686,2020.06.09,753.0
687,2020.06.08,753.0
688,2020.06.05,749.0
689,2020.06.04,742.0
690,2020.06.03,737.0
691,2020.06.02,743.0
692,2020.06.01,735.0
693,2020.05.29,713.0
694,2020.05.28,708.0
695,2020.05.27,724.0
696,2020.05.26,729.0
697,2020.05.25,719.0
698,2020.05.22,708.0
699,2020.05.21,716.0
700,2020.05.20,708.0
701,2020.05.19,696.0
702,2020.05.18,690.0
703,2020.05.15,691.0
704,2020.05.14,690.0
705,2020.05.13,691.0
706,2020.05.12,684.0
707,2020.05.11,685.0
708,2020.05.08,682.0
709,2020.05.07,668.0
710,2020.05.06,658.0
711,2020.05.04,641.0
712,2020.04.29,645.0
713,2020.04.28,644.0
714,2020.04.27,646.0
715,2020.04.24,632.0
716,2020.04.23,643.0
717,2020.04.22,635.0
718,2020.04.21,628.0
719,2020.04.20,637.0
720,2020.04.17,634.0
721,2020.04.16,623.0
722,2020.04.14,610.0
723,2020.04.13,596.0
724,2020.04.10,611.0
725,2020.04.09,615.0
726,2020.04.08,607.0
727,2020.04.07,606.0
728,2020.04.06,597.0
729,2020.04.03,573.0
730,2020.04.02,567.0
731,2020.04.01,551.0
732,2020.03.31,569.0
733,2020.03.30,542.0
734,2020.03.27,522.0
735,2020.03.26,516.0
736,2020.03.25,505.0
737,2020.03.24,480.0
738,2020.03.23,443.0
739,2020.03.20,467.0
740,2020.03.19,428.0
741,2020.03.18,485.0
742,2020.03.17,514.0
743,2020.03.16,504.0
744,2020.03.13,524.0
745,2020.03.12,563.0
746,2020.03.11,595.0
747,2020.03.10,619.0
748,2020.03.09,614.0
749,2020.03.06,642.0
750,2020.03.05,650.0
751,2020.03.04,641.0
752,2020.03.03,626.0
753,2020.03.02,627.0
754,2020.02.28,610.0
755,2020.02.27,638.0
756,2020.02.26,654.0
757,2020.02.25,656.0
758,2020.02.24,639.0
759,2020.02.21,667.0
760,2020.02.20,681.0
761,2020.02.19,684.0
762,2020.02.18,682.0
763,2020.02.17,692.0
764,2020.02.14,688.0
765,2020.02.13,687.0
766,2020.02.12,686.0
767,2020.02.11,682.0
768,2020.02.10,676.0
769,2020.02.07,672.0
770,2020.02.06,672.0
771,2020.02.05,661.0
772,2020.02.04,661.0
773,2020.02.03,646.0
774,2020.01.31,642.0
775,2020.01.30,656.0
776,2020.01.29,670.0
777,2020.01.28,664.0
778,2020.01.23,685.0
779,2020.01.22,688.0
780,2020.01.21,676.0
781,2020.01.20,683.0
782,2020.01.17,688.0
783,2020.01.16,686.0
784,2020.01.15,679.0
785,2020.01.14,678.0
786,2020.01.13,679.0
787,2020.01.10,673.0
788,2020.01.09,666.0
789,2020.01.08,640.0
790,2020.01.07,663.0
791,2020.01.06,655.0
792,2020.01.03,669.0
793,2020.01.02,674.0
794,2019.12.30,669.0
795,2019.12.27,661.0
796,2019.12.26,652.0
797,2019.12.24,638.0
798,2019.12.23,647.0
799,2019.12.20,649.0
800,2019.12.19,647.0
801,2019.12.18,648.0
802,2019.12.17,650.0
803,2019.12.16,644.0
804,2019.12.13,643.0
